63_61_63_62_59_57_59_63_62_61_60_58_55_53_55_58_56_54_51_49_51_55_63_62_61_60_59_57_54_53_52_50_47_45_47_51_58_56_49_46_43_41_43_47_55_54_53_52_50_48_39_37_39_43_35_33_35_39_47_63_62_61_60_59_57_41_42_34_31_29_31_35_43_58_56_51_49_46_45_44_37_38_36_30_27_25_27_31_39_55_54_53_52_50_48_40_30_29_28_26_23_21_23_19_17_19_23_31_30_29_28_27_26_25_24_21_22_15_17_18_13_15_19_20_14_11_9_11_15_14_13_12_10_7_5_7_6_3_1_3_7_15_31_63_62_61_60_59_57_47_42_41_34_33_32_30_29_28_27_58_56_51_49_46_45_44_43_38_37_36_35_26_25_24_23_55_54_53_52_50_48_40_39_22_21_16_14_13_18_17_12_11_20_19_10_9_8_6_5_4_2,1693.660521,5.09e+03,0.4591,0.00
63_61_63_62_59_57_59_63_62_61_60_58_55_53_55_59_58_57_54_51_49_51_55_63_62_61_60_56_54_53_52_50_47_45_47_51_59_58_57_46_43_41_43_47_55_54_53_52_50_49_48_39_37_39_43_35_33_35_39_47_63_62_61_60_56_41_42_40_34_31_29_31_35_43_59_58_57_51_46_45_44_37_38_36_30_27_25_27_31_39_55_54_53_52_50_49_48_30_29_28_26_23_21_23_19_21_17_19_23_31_30_29_28_27_26_25_24_20_15_17_21_22_18_13_15_14_11_9_11_15_14_13_12_10_7_5_7_6_3_1_3_7_15_31_63_62_61_60_56_47_42_41_40_34_33_32_30_29_28_27_59_58_57_51_46_45_44_43_38_37_36_35_26_25_24_23_55_54_53_52_50_49_48_39_20_19_16_14_13_22_21_18_17_12_11_10_9_8_6_5_4_2,1699.471869,5.12e+03,0.4596,0.00
63_61_63_62_59_61_57_59_63_62_60_58_55_57_61_53_55_59_58_56_54_51_49_51_55_63_62_60_54_53_61_57_52_50_47_45_47_51_59_58_56_46_43_41_43_47_55_54_53_52_50_48_39_37_39_43_35_33_35_39_47_63_62_61_60_57_49_41_42_34_31_29_31_35_43_59_58_56_51_46_45_44_37_38_36_30_27_25_27_31_39_55_54_53_52_50_48_40_30_29_28_26_23_21_23_19_21_17_19_23_31_30_29_28_27_26_25_24_20_15_17_21_22_18_13_15_14_11_9_11_15_14_13_12_10_7_5_7_6_3_1_3_7_15_31_63_62_61_60_57_49_47_42_41_34_33_32_30_29_28_27_59_58_56_51_46_45_44_43_38_37_36_35_26_25_24_23_55_54_53_52_50_48_40_39_20_19_16_14_13_22_21_18_17_12_11_10_9_8_6_5_4_2,1703.755367,5.13e+03,0.4685,0.00
63_61_63_62_59_61_60_57_59_63_62_58_55_57_61_60_53_55_59_58_54_51_49_51_55_63_62_56_54_53_61_60_57_52_50_47_45_47_51_59_58_46_43_41_43_47_55_54_53_52_50_49_48_39_37_39_43_35_33_35_39_47_63_62_61_60_57_56_41_42_34_31_29_31_35_43_59_58_51_46_45_44_37_38_36_30_27_25_27_31_39_55_54_53_52_50_49_48_40_30_29_28_26_23_21_23_19_17_19_23_31_30_29_28_27_26_25_24_21_22_15_17_18_13_15_19_20_14_11_9_11_15_14_13_12_10_7_5_7_6_3_1_3_7_15_31_63_62_61_60_57_56_47_42_41_34_33_32_30_29_28_27_59_58_51_46_45_44_43_38_37_36_35_26_25_24_23_55_54_53_52_50_49_48_40_39_22_21_16_14_13_18_17_12_11_20_19_10_9_8_6_5_4_2,1707.841961,5.15e+03,0.4737,0.00
63_61_63_62_59_57_59_63_62_61_60_58_55_53_55_58_56_54_51_49_51_55_63_62_61_60_59_57_54_53_52_50_47_45_47_51_58_56_50_46_43_41_43_47_55_54_53_52_49_48_39_37_39_43_35_33_35_39_47_63_62_61_60_59_57_41_42_34_31_29_31_35_43_58_56_51_50_46_45_44_37_38_36_30_27_25_27_31_39_55_54_53_52_49_48_40_30_29_28_26_23_21_23_19_17_19_23_31_30_29_28_27_26_25_24_21_22_15_13_15_19_20_17_18_14_11_9_11_15_14_13_12_10_7_5_7_6_3_1_3_7_15_31_63_62_61_60_59_57_47_42_41_34_33_32_30_29_28_27_58_56_51_50_46_45_44_43_38_37_36_35_26_25_24_23_55_54_53_52_49_48_40_39_22_21_16_14_13_12_11_20_19_18_17_10_9_8_6_5_4_2,1694.297816,5.10e+03,0.4655,0.00
63_61_63_62_59_57_59_63_62_61_60_58_55_53_55_59_58_56_54_51_49_51_55_63_62_61_60_57_54_53_52_50_47_45_47_51_59_58_56_49_46_43_41_43_47_55_54_53_52_50_48_39_37_39_43_35_33_35_39_47_63_62_61_60_57_41_42_36_34_31_29_31_35_43_59_58_56_51_49_46_45_44_37_38_30_27_25_27_31_39_55_54_53_52_50_48_40_30_29_28_26_23_21_23_19_17_19_23_31_30_29_28_27_26_25_24_21_22_15_13_15_19_20_17_18_14_11_9_11_15_14_13_12_10_7_5_7_6_3_1_3_7_15_31_63_62_61_60_57_47_42_41_36_34_33_32_30_29_28_27_59_58_56_51_49_46_45_44_43_38_37_35_26_25_24_23_55_54_53_52_50_48_40_39_22_21_16_14_13_12_11_20_19_18_17_10_9_8_6_5_4_2,1699.990035,5.11e+03,0.4816,0.00
63_61_63_62_59_61_57_59_63_62_60_58_55_57_61_53_55_59_58_56_54_51_49_51_55_63_62_60_54_53_61_57_52_50_47_45_47_51_59_58_56_46_43_41_43_47_55_54_53_52_50_48_39_37_39_43_35_33_35_39_47_63_62_61_60_57_49_41_42_34_31_29_31_35_43_59_58_56_51_46_45_44_37_38_36_30_27_25_27_31_39_55_54_53_52_50_48_40_30_29_28_26_23_21_23_19_17_19_23_31_30_29_28_27_26_25_24_21_22_15_17_18_13_15_19_20_14_11_9_11_15_14_13_12_10_7_5_7_6_3_1_3_7_15_31_63_62_61_60_57_49_47_42_41_34_33_32_30_29_28_27_59_58_56_51_46_45_44_43_38_37_36_35_26_25_24_23_55_54_53_52_50_48_40_39_22_21_16_14_13_18_17_12_11_20_19_10_9_8_6_5_4_2,1704.178473,5.14e+03,0.4656,0.00
63_61_63_62_59_61_60_57_59_63_62_58_55_57_61_60_53_55_59_58_56_54_51_49_51_55_63_62_53_61_60_57_52_50_47_45_47_51_59_58_56_54_46_43_41_43_47_55_53_52_50_49_48_39_37_39_43_35_33_35_39_47_63_62_61_60_57_41_42_36_34_31_29_31_35_43_59_58_56_54_51_46_45_44_37_38_30_27_25_27_31_39_55_53_52_50_49_48_40_30_29_28_26_23_21_23_22_19_17_19_23_31_30_29_28_27_26_25_24_18_15_13_15_19_22_21_20_14_11_9_11_15_14_13_12_10_7_5_7_6_3_1_3_7_15_31_63_62_61_60_57_47_42_41_36_34_33_32_30_29_28_27_59_58_56_54_51_46_45_44_43_38_37_35_26_25_24_23_55_53_52_50_49_48_40_39_18_17_16_14_13_12_11_22_21_20_19_10_9_8_6_5_4_2,1710.410016,5.15e+03,0.4585,0.00
63_61_63_62_59_57_59_63_62_61_60_58_55_53_55_58_56_54_51_49_51_55_63_62_61_60_59_57_54_53_52_50_47_45_47_51_58_56_50_46_43_41_43_47_55_54_53_52_49_48_39_37_39_43_35_33_35_39_47_63_62_61_60_59_57_41_42_34_31_29_31_35_43_58_56_51_50_46_45_44_37_38_36_30_27_25_27_31_39_55_54_53_52_49_48_40_30_29_28_26_23_21_23_19_17_19_23_31_30_29_28_27_26_25_24_21_22_15_17_18_13_15_19_20_14_11_9_11_15_14_13_12_10_7_5_7_6_3_1_3_7_15_31_63_62_61_60_59_57_47_42_41_34_33_32_30_29_28_27_58_56_51_50_46_45_44_43_38_37_36_35_26_25_24_23_55_54_53_52_49_48_40_39_22_21_16_14_13_18_17_12_11_20_19_10_9_8_6_5_4_2,1693.660521,5.10e+03,0.4592,0.00
63_61_63_62_59_57_59_63_62_61_60_58_55_53_55_59_58_56_54_51_49_51_55_63_62_61_60_57_54_53_52_50_47_45_47_51_59_58_56_46_43_41_43_47_55_54_53_52_50_49_48_39_37_39_43_35_33_35_39_47_63_62_61_60_57_41_42_36_34_31_29_31_35_43_59_58_56_51_46_45_44_37_38_30_27_25_27_31_39_55_54_53_52_50_49_48_40_30_29_28_26_23_21_23_19_17_19_23_31_30_29_28_27_26_25_24_21_22_15_13_15_19_20_17_18_14_11_9_11_15_14_13_12_10_7_5_7_6_3_1_3_7_15_31_63_62_61_60_57_47_42_41_36_34_33_32_30_29_28_27_59_58_56_51_46_45_44_43_38_37_35_26_25_24_23_55_54_53_52_50_49_48_40_39_22_21_16_14_13_12_11_20_19_18_17_10_9_8_6_5_4_2,1699.891750,5.12e+03,0.4729,0.00
